latitude,longitude,name,line
43.7814,-79.415,Finch,1
43.7688,-79.413,North York Centre,1
43.762,-79.4119,Sheppard-Yonge,1
43.74462,-79.40685,York Mills,1
43.72544,-79.40091,Lawrence,1
43.7053,-79.399,Eglinton,1
43.6978,-79.3966,Davisville,1
43.6875,-79.393,St. Clair,1
43.68522,-79.39184,Summerhill,1
43.6768,-79.3889,Rosedale,1
43.6706,-79.3865,Bloor-Yonge,1
43.6655,-79.3838,Wellesley,1
43.6614,-79.38264,College,1
43.6563,-79.3805,Dundas,1
43.6523,-79.37976,Queen,1
43.6452,-79.3806,King,1
43.6477,-79.3848,Union,1
43.6506,-79.3868,St. Andrew,1
43.65093,-79.38618,Osgoode,1
43.65285,-79.38629,St. Patrick,1
43.6599,-79.3905,Queen's Park,1
43.66678,-79.3934,Museum,1
43.6683,-79.3936,St. George,1
43.672,-79.406,Spadina,1
43.67492,-79.40681,Dupont,1
43.6842,-79.4154,St. Clair West,1
43.6994,-79.4362,Eglinton West,1
43.7088,-79.4407,Glencairn,1
43.7159,-79.4441,Lawrence West,1
43.7249,-79.4488,Yorkdale,1
43.735151,-79.451087,Wilson,1
43.7497,-79.4619,Sheppard West,1
43.7468,-79.4792,Downsview Park,1
43.76583,-79.49134,Finch West,1
43.77392,-79.49966,York University,1
43.7772,-79.5103,Pioneer Village,1
43.78352,-79.52207,Highway 407,1
43.79375,-79.52717,Vaughan,1
43.63823,-79.53534,Kipling,2
43.64528,-79.52371,Islington,2
43.64808,-79.51166,Royal York,2
43.65113,-79.49389,Old Mill,2
43.64952,-79.48362,Jane,2
43.6517,-79.476,Runnymede,2
43.65406,-79.46635,High Park,2
43.65595,-79.46043,Keele,2
43.657,-79.45262,Dundas West,2
43.65905,-79.44295,Lansdowne,2
43.6602,-79.4357,Dufferin,2
43.66247,-79.42586,Ossington,2
43.66405,-79.4186,Christie,2
43.66592,-79.4115,Bathurst,2
43.6704,-79.38976,Bay,2
43.67141,-79.37644,Sherbourne,2
43.6736,-79.3688,Castle Frank,2
43.6769,-79.3582,Broadview,2
43.67828,-79.35223,Chester,2
43.67984,-79.3452,Pape,2
43.681,-79.3378,Donlands,2
43.68283,-79.33009,Greenwood,2
43.68434,-79.3231,Coxwell,2
43.68661,-79.31272,Woodbine,2
43.68951,-79.30235,Main Street,2
43.6945,-79.2887,Victoria Park,2
43.71071,-79.28044,Warden,2
43.7325,-79.2636,Kennedy,2
43.75016,-79.26883,Lawrence East,3
43.767,-79.2775,Ellesmere,3
43.7704,-79.2722,Midland,3
43.7744,-79.2581,Scarborough Centre,3
43.7749,-79.2518,McCowan,3
43.7669,-79.3863,Bayview,4
43.7691,-79.3759,Bessarion,4
43.7713,-79.3648,Leslie,4
43.7757,-79.3454,Don Mills,4
